position_id,participant,question,position_text,position_type,strength
P001,P8wgqcuub,Q2,Talk about sustainability in team and with stakeholders in code reviews,implementation_detail,strong
P002,P8wgqcuub,Q2,Add sustainability to efficiency and cost reduction questions already asked,implementation_detail,strong
P003,P8wgqcuub,Q2,Keep people accountable for choices that impact the environment,core_position,strong
P004,P8wgqcuub,Q2,Reshape culture with added value of environment,core_position,strong
P005,P8wgqcuub,Q2,Everyone should take responsibility in any role,core_position,strong
P006,P8wgqcuub,Q2,Some expertise can help fast track actions needed,nuance,moderate
P007,P8wgqcuub,Q2,Expertise helps knowing which actions are right and create impact,implementation_detail,moderate
P008,P8wgqcuub,Q2,Sustainability knowledge will eventually become standard in all roles,core_position,moderate
P009,Pa52wwkew,Q2,Need to increase and improve communication between all stakeholders,core_position,strong
P010,Pa52wwkew,Q2,Fragmentation is major blocker for actual implementation,core_position,strong
P011,Pa52wwkew,Q2,Generalized standards and tools could help address fragmentation,implementation_detail,strong
P012,Pa52wwkew,Q2,Mindset change required for management to prioritize sustainability,core_position,strong
P013,Pa52wwkew,Q2,Unsustainable company has inherent path to failure,core_position,strong
P014,Pa52wwkew,Q2,Current sentiment focused mainly on finance rather than sustainability,core_position,strong
P015,Pa52wwkew,Q2,Should be incentivized by law to change management mindset,implementation_detail,strong
P016,Pa52wwkew,Q2,Initially dedicated teams required to kickstart sustainability efforts,core_position,strong
P017,Pa52wwkew,Q2,Dedicated team gathers and spreads information and workflows,implementation_detail,strong
P018,Pa52wwkew,Q2,Use initial improvements as examples to include rest of organization,implementation_detail,moderate
P019,Pa52wwkew,Q2,Create culture where sustainability is part of core from project start,core_position,strong
P020,Pa52wwkew,Q2,Eventually leads to deprecation of dedicated team as culture becomes company-wide,nuance,moderate
P021,Pa52wwkew,Q2,Open framework for standardized measurement and reporting is key,core_position,strong
P022,Pasy-zppz,Q2,Software sustainability should be integrated in RSE policy at company level,implementation_detail,moderate
P023,Pasy-zppz,Q2,Should be everyone's responsibility,core_position,strong
P024,Pasy-zppz,Q2,Creating dedicated roles will add friction,dissenting,strong
P025,Pasy-zppz,Q2,People will not be as concerned if there are dedicated roles,dissenting,strong
P026,Pbh-u6glt,Q2,Everyone wants to do best with information they have,core_position,moderate
P027,Pbh-u6glt,Q2,Lack of information from corporations to employees on sustainability stance,core_position,strong
P028,Pbh-u6glt,Q2,Many corporations do it just for brand rather than genuine commitment,nuance,moderate
P029,Pbh-u6glt,Q2,Should be at least a consultant to help leaders know what to do,implementation_detail,moderate
P030,Pbh-u6glt,Q2,Leaders can give employees right steps and information,implementation_detail,moderate
P031,Pbh-u6glt,Q2,Should be part of everyone's mindset and responsibility,core_position,strong
P032,Piid_rtgn,Q2,Incorporate green targets into all senior leaders KPI framework,implementation_detail,strong
P033,Piid_rtgn,Q2,Senior staff judged on sustainability of outputs creates focused team dynamics,implementation_detail,strong
P034,Piid_rtgn,Q2,Should be everyone's role not separate roles,core_position,strong
P035,Piid_rtgn,Q2,Separate roles end up with tokenistic responses,dissenting,strong
P036,Piid_rtgn,Q2,Separate roles lead to go speak to our green guy dynamic,dissenting,strong
P037,Piid_rtgn,Q2,Involvement should be across the board,core_position,strong
P038,Puc8qnfbg,Q2,Everyone is responsible based on causal relationship with impact,core_position,strong
P039,Puc8qnfbg,Q2,End users should be made aware and get incentive to limit use,implementation_detail,moderate
P040,Puc8qnfbg,Q2,Software developers should optimize for larger scale software,implementation_detail,moderate
P041,Puc8qnfbg,Q2,Organizations should do both awareness and optimization,core_position,moderate
P042,Puc8qnfbg,Q2,Car analogy: manufacturers build clean cars cleanly,nuance,moderate
P043,Puc8qnfbg,Q2,Car analogy: suppliers provide green electricity and fuel,nuance,moderate
P044,Puc8qnfbg,Q2,Car analogy: individuals limit their driving,nuance,moderate
P045,Puc8qnfbg,Q2,We all need incentive to improve and carry responsibility,core_position,strong